"site","title","link","title_wordcnt"
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Bonnie And The Brilliant Racial Tension Of 'Big Little Lies'","http://www.huffingtonpost.com/entry/bonnie-and-the-brilliant-racial-tension-of-big-little-lies_us_58e50b8fe4b03a26a3686222?0k6&ncid=inblnkushpmg00000009",10
"ABC News – Breaking News, Latest News, Headlines & Videos","
								President Trump says Syria attack 'crossed many, many lines'
							","http://abcnews.go.com/Politics/president-trump-condemns-heinous-actions-syria/story?id=46593368",9
"ABC News – Breaking News, Latest News, Headlines & Videos","
											Sen. Marco Rubio cites Tillerson's remarks as 'incentive' in Syrian chemical attack 
										","http://abcnews.go.com/Politics/gop-senator-marco-rubio-cites-rex-tillersons-remarks/story?id=46598924",12
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Naomi Klein Is Writing An Anti-Trump Manifesto Very, Very Quickly","http://www.huffingtonpost.com/entry/naomi-klein-is-writing-an-anti-trump-manifesto-very-very-quickly_us_58e52ab9e4b0fe4ce0877035?04rjbmdb556d2t9&ncid=inblnkushpmg00000009",10
"Breaking News and Opinion on The Huffington Post | The Huffington Post","7 Shockingly Tone-Deaf Ads That Should Have Never Happened","http://www.huffingtonpost.com/entry/tone-deaf-ads-that-should-have-never-happened_us_58e4f35de4b0d0b7e1669c92?ncid=inblnkushpmg00000009",9
"Breaking News and Opinion on The Huffington Post | The Huffington Post","MLK's Daughter Bernice King Blasts Pepsi In Mic-Drop Tweet","http://www.huffingtonpost.com/entry/mlks-daughter-bernice-king-blasts-pepsis-in-mic-drop-tweet_us_58e51e21e4b06a4cb30e3a5a?2gzylg3qb0bgwrk9&ncid=inblnkushpmg00000009",9
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Police Seek Help IDing Woman Found Wet, Claiming To Be Mermaid","http://www.huffingtonpost.com/entry/woman-fresno-mermaid_us_58e53541e4b0fe4ce08793e2?ncid=inblnkushpmg00000009",11
"ABC News – Breaking News, Latest News, Headlines & Videos","
											Death toll in Syrian chemical attack rises to 72
										","http://abcnews.go.com/International/death-toll-syrian-chemical-attack-rises-72/story?id=46591764",9
"ABC News – Breaking News, Latest News, Headlines & Videos","Father loses twins in Syrian chemical attack ","http://abcnews.go.com/International/father-loses-month-twins-syrian-chemical-weapons-attack/story?id=46596223",7
"ABC News – Breaking News, Latest News, Headlines & Videos","Senator slams Supreme Court pick in 15-hour speech","http://abcnews.go.com/Politics/democratic-senator-holds-floor-15-hour-speech-criticize/story?id=46592440",8
